Country,Year,Total GHG Emissions Including Land-Use Change and Forestry (MtCO_e_),GDP-USD (Million US$ (2005)),Population (People),GHG per Capita,GDP per Capita
Azerbaijan,1994,63.62,5670,7597000,8.37,746.35
"Bahamas, The",1994,0.65,5472,275820,2.37,19839.03
Bahrain,1994,18.34,9672,549170,33.40,17612.03
Bangladesh,1994,125.24,34209,117369492,1.07,291.46
Barbados,1994,2.61,3069,262441,9.94,11694.06
Belarus,1994,88.47,17292,10227000,8.65,1690.82
Belgium,1994,146.02,300446,10115603,14.44,29701.24
Belize,1994,11.18,638,202348,55.23,3152.98
Benin,1994,20.65,2654,5786794,3.57,458.63
Bhutan,1994,-5.40,384,511588,-10.55,750.60
Bolivia,1994,111.28,6616,7463773,14.91,886.41
Bosnia & Herzegovina,1994,-4.11,2088,3659409,-1.12,570.58
Botswana,1994,23.26,6030,1544865,15.06,3903.25
Brazil,1994,1661.75,666695,159432909,10.42,4181.66
Brunei,1994,15.45,7707,287370,53.78,26819.08
Bulgaria,1994,59.15,21226,8443591,7.00,2513.86
Burkina Faso,1994,25.29,2740,9816586,2.58,279.12
Burundi,1994,7.78,1171,6112449,1.27,191.58
Cambodia,1994,42.43,2658,10430268,4.07,254.84
Cameroon,1994,192.00,10569,13546948,14.17,780.18
Canada,1994,640.25,820306,29111906,21.99,28177.68
Cape Verde,1994,-0.26,364,389504,-0.66,934.52
Central African Republic,1994,55.18,1076,3200633,17.24,336.18
Chad,1994,34.51,2650,6755540,5.11,392.27
Chile,1994,42.57,74663,14204726,3.00,5256.21
China,1994,3691.72,844326,1191835000,3.10,708.43
Colombia,1994,177.11,109797,35915434,4.93,3057.10
Comoros,1994,0.43,279,454665,0.95,613.64
"Congo, Dem. Rep.",1994,200.45,12035,40711816,4.92,295.61
"Congo, Rep.",1994,15.88,4257,2647817,6.00,1607.74
Cook Islands,1994,0.08,106,19077,3.97,5556.43
Costa Rica,1994,16.26,12362,3393575,4.79,3642.77
Cote d'Ivoire,1994,20.48,13665,13798862,1.48,990.30
Croatia,1994,10.33,29123,4650000,2.22,6263.01
Cuba,1994,13.12,26091,10878823,1.21,2398.33
Cyprus,1994,6.24,11331,837166,7.45,13534.95
Czech Republic,1994,132.90,96679,10333587,12.86,9355.80
Denmark,1994,77.57,206965,5206180,14.90,39753.72
Djibouti,1994,1.02,649,652793,1.56,994.19
Dominica,1994,0.13,300,71372,1.86,4203.33
Dominican Republic,1994,19.75,19396,7834359,2.52,2475.76
Ecuador,1994,112.96,30348,11075454,10.20,2740.11
Egypt,1994,127.97,55936,60231864,2.12,928.68
El Salvador,1994,10.51,12305,5677743,1.85,2167.23
Equatorial Guinea,1994,6.59,255,427503,15.41,596.49
Eritrea,1994,6.51,810,3365933,1.93,240.65
Estonia,1994,29.30,2983,1462514,20.04,2039.64
Ethiopia,1994,90.26,6851,55199953,1.64,124.11
European Union (15),1994,3585.80,10388843,371815941,9.64,27940.82
European Union (28),1994,4531.38,10924022,478390618,9.47,22834.94
Fiji,1994,1.51,2343,765664,1.98,3060.09
Finland,1994,56.51,134756,5088333,11.11,26483.33
France,1994,465.41,1722950,59325793,7.84,29042.17
Gabon,1994,7.54,7477,1052772,7.16,7102.20
"Gambia, The",1994,3.98,428,1036580,3.84,412.90
Georgia,1994,14.28,3305,4861600,2.94,679.82
Germany,1994,999.05,2484834,81438348,12.27,30511.84
Ghana,1994,50.40,6526,16339278,3.08,399.41
Greece,1994,99.87,167380,10553035,9.46,15860.84
Grenada,1994,1.64,418,99403,16.55,4205.10
Guatemala,1994,29.81,18401,9756398,3.06,1886.04
Guinea,1994,22.46,1992,7514053,2.99,265.10
Guinea-Bissau,1994,2.94,566,1114249,2.64,507.97
Guyana,1994,6.90,663,725839,9.50,913.43
Haiti,1994,4.50,2168,7691001,0.58,281.89
Honduras,1994,52.11,6376,5457189,9.55,1168.37
Hungary,1994,78.17,77356,10343355,7.56,7478.81
Iceland,1994,2.89,10701,266021,10.85,40226.15
India,1994,1370.37,417126,938452550,1.46,444.48
Indonesia,1994,1175.35,202188,191085673,6.15,1058.10
Iran,1994,356.09,116879,59663107,5.97,1958.98
Iraq,1994,144.94,22040,19731733,7.35,1116.98
Ireland,1994,56.90,95600,3590386,15.85,26626.66
Israel,1994,55.34,80775,5399000,10.25,14961.10
Italy,1994,452.48,1557207,56843400,7.96,27394.68
Jamaica,1994,10.63,5419,2460002,4.32,2202.84
Japan,1994,1194.89,4053449,124961000,9.56,32437.71
Jordan,1994,21.47,7435,4061000,5.29,1830.83
Kazakhstan,1994,260.18,33605,16095199,16.16,2087.89
Kenya,1994,43.73,13495,26634659,1.64,506.67
Kiribati,1994,0.04,72,75346,0.49,955.59
"Korea, Dem. Rep. (North)",1994,125.54,8307,21478552,5.84,386.76
"Korea, Rep. (South)",1994,370.86,507965,44641540,8.31,11378.75
Kuwait,1994,113.39,47251,1784324,63.55,26481.18
Kyrgyzstan,1994,9.90,1644,4515100,2.19,364.11
Laos,1994,28.33,1400,4751142,5.96,294.67
Latvia,1994,5.42,8293,2520742,2.15,3289.90
Lebanon,1994,14.56,15198,2974647,4.90,5109.18
Lesotho,1994,1.95,990,1725118,1.13,573.87
Liberia,1994,15.98,109,2019148,7.91,53.98
Libya,1994,96.28,28608,4654483,20.69,6146.33
Lithuania,1994,25.73,13965,3657144,7.04,3818.55
Luxembourg,1994,8.27,23277,402925,20.52,57770.06
"Macedonia, FYR",1994,10.81,4838,1968851,5.49,2457.27
Madagascar,1994,59.36,3668,13039754,4.55,281.29
Malawi,1994,12.66,1772,9851737,1.28,179.87
Malaysia,1994,-100.77,82046,20206546,-4.99,4060.37
Maldives,1994,0.27,356,239291,1.13,1487.73
Mali,1994,23.85,2854,8759442,2.72,325.82
Malta,1994,2.77,4190,367941,7.53,11387.70
Mauritania,1994,9.63,1225,2267433,4.25,540.26
Mauritius,1994,2.53,3915,1112846,2.27,3518.01
Mexico,1994,528.41,661172,93541577,5.65,7068.22
Moldova,1994,18.56,2424,3694000,5.02,656.20
Mongolia,1994,51.47,1514,2280519,22.57,663.88
Montenegro,1994,3.33,1678,615521,5.41,2726.15
Morocco,1994,35.42,40651,26421309,1.34,1538.57
Mozambique,1994,55.36,2928,15453464,3.58,189.47
Myanmar,1994,172.00,7119,44686091,3.85,159.31
Namibia,1994,16.77,4623,1605828,10.45,2878.89
Nauru,1994,0.14,37,10490,12.95,3527.17
Nepal,1994,57.52,5262,20065413,2.87,262.24
Netherlands,1994,224.03,503388,15382838,14.56,32724.00
New Zealand,1994,48.36,77262,3620000,13.36,21343.09
Nicaragua,1994,38.47,4000,4557125,8.44,877.75
Niger,1994,19.90,2374,8851763,2.25,268.20
Nigeria,1994,400.69,58014,105752796,3.79,548.58
Niue,1994,0.05,9.42,2035,25.60,4628.99
Norway,1994,34.86,218465,4336613,8.04,50376.87
Oman,1994,47.35,24015,2109246,22.45,11385.59
Pakistan,1994,201.44,69656,123450933,1.63,564.24
Palau,1994,-0.02,144,16805,-1.41,8568.88
Panama,1994,27.69,9815,2700823,10.25,3634.08
Papua New Guinea,1994,99.85,4573,4595761,21.73,995.05
Paraguay,1994,96.15,7287,4691695,20.49,1553.17
Peru,1994,92.96,49811,23511358,3.95,2118.59
Philippines,1994,99.47,66036,68050807,1.46,970.39
Poland,1994,380.71,188926,38542652,9.88,4901.74
Portugal,1994,64.88,148394,9991525,6.49,14851.99
Qatar,1994,20.30,17280,495106,41.00,34901.62
Romania,1994,167.47,74278,22730211,7.37,3267.81
Russian Federation,1994,2468.71,546325,148336000,16.64,3683.02
Rwanda,1994,13.03,819,5728464,2.27,142.97
Saint Kitts & Nevis,1994,0.13,355,42363,3.02,8379.95
Saint Lucia,1994,0.75,702,145262,5.19,4832.65
Saint Vincent & Grenadines,1994,0.12,351,108129,1.07,3246.12
Samoa,1994,-0.46,283,168786,-2.70,1676.68
Sao Tome & Principe,1994,0.10,84,128135,0.82,655.56
Saudi Arabia,1994,245.24,227352,18197011,13.48,12493.92
Senegal,1994,23.05,5382,8475766,2.72,634.99
Serbia,1994,35.55,18290,7734639,4.60,2364.69
Seychelles,1994,0.25,712,73925,3.36,9631.38
Sierra Leone,1994,9.60,1219,3951544,2.43,308.49
Singapore,1994,42.58,71298,3419000,12.45,20853.47
Slovakia,1994,39.62,38935,5346331,7.41,7282.56
Slovenia,1994,7.77,24710,1989443,3.90,12420.56
Solomon Islands,1994,2.06,417,349250,5.91,1193.99
South Africa,1994,325.05,180536,38283223,8.49,4715.80
Spain,1994,253.51,780293,39294967,6.45,19857.33
Sri Lanka,1994,33.93,14895,17891000,1.90,832.54
Sudan,1994,157.77,13702,23683211,6.66,578.55
Suriname,1994,5.52,1247,429968,12.83,2900.22
Swaziland,1994,2.13,1930,944223,2.26,2044.01
Sweden,1994,76.01,275587,8780745,8.66,31385.38
Switzerland,1994,48.00,336373,6993795,6.86,48095.92
Syria,1994,63.17,19152,13945646,4.53,1373.33
Tajikistan,1994,8.05,1652,5702611,1.41,289.69
Tanzania,1994,146.26,7867,29067333,5.03,270.65
Thailand,1994,221.81,123097,58491145,3.79,2104.54
Togo,1994,11.64,1501,4181481,2.78,358.96
Tonga,1994,0.24,205,95712,2.56,2141.84
Trinidad & Tobago,1994,18.40,8269,1250316,14.72,6613.53
Tunisia,1994,22.16,19590,8785700,2.52,2229.76
Turkey,1994,209.41,293866,57613441,3.63,5100.65
Turkmenistan,1994,56.19,5475,4095512,13.72,1336.83
Uganda,1994,34.12,4361,20081152,1.70,217.17
Ukraine,1994,510.99,74917,51921041,9.84,1442.90
United Arab Emirates,1994,88.77,99578,2232159,39.77,44610.62
United Kingdom,1994,698.94,1745277,57865745,12.08,30160.80
United States,1994,5900.51,9103465,263126000,22.42,34597.36
Uruguay,1994,8.13,15155,3201235,2.54,4734.11
Uzbekistan,1994,193.54,9184,22377000,8.65,410.42
Vanuatu,1994,0.54,314,164209,3.31,1912.20
Venezuela,1994,304.09,118877,21626607,14.06,5496.79
Vietnam,1994,41.65,26936,70824500,0.59,380.32
World,1994,33628.93,33465353,5614434365,5.99,5960.59
Yemen,1994,13.79,10031,14396720,0.96,696.76
Zambia,1994,113.82,5018,8625477,13.20,581.76
Zimbabwe,1994,67.69,7524,11428655,5.92,658.35
Afghanistan,1995,14.37,"3,236",17586073,0.82,184.01
Albania,1995,6.44,4939,3187784,2.02,1549.35
Algeria,1995,101.74,67626,29315463,3.47,2306.84
